Zone,Wildlife,Pollution,Safety,Population,Volunteers
"Pinellas County, FL, USA",30,4715,18.08891062,9904308,1980
"Pinellas County, FL, USA",27,4857,23.84678386,9904308,1980
"Cook County, IL, USA",65,545,22.90106938,9067522,1813
"Los Angeles County, CA, USA",69,8370,17.86727103,1214104,242
"Broward County, FL, USA",144,5580,12.2931182,2737526,547
"Palm Beach County, FL, USA",26,1562,10.3547884,8732606,1746
"Santa Barbara County, CA, USA",4,9615,12.83590801,7045521,1409
"Los Angeles County, CA, USA",42,8342,7.216149892,1214104,242
"Colleton County, SC, USA",59,9008,15.91590412,6327439,1265
"Palm Beach County, FL, USA",126,5406,0.085268083,8732606,1746
"Northampton County, VA, USA",109,11662,11.09988285,9181338,1836
"St Johns County, FL, USA",26,3536,14.96224306,9244498,1848
"St Louis County, MN, USA",0,2094,19.29027198,12089299,2417
"Honolulu County, HI, USA",145,1212,21.22662397,458547,91
"Erie County, NY, USA",98,2261,5.620272141,7512282,1502
"San Diego County, CA, USA",98,4028,19.39881345,7853477,1570
"Volusia County, FL, USA",134,481,16.23210805,10409900,2081
"Southampton County, VA, USA",28,3989,8.412510864,2624021,524
"Berrien County, MI, USA",62,3379,5.569408653,9262030,1852
"Pueblo County, CO, USA",67,6710,1.926257488,5077414,1015
"Palm Beach County, FL, USA",97,9854,12.38803507,8732606,1746
"Martin County, FL, USA",145,8218,23.08927521,1363198,272
"Kings County, Brooklyn, NY, USA",64,11990,13.09007584,4380429,876
"Palm Beach County, FL, USA",30,11662,21.66469022,8732606,1746
"King County, WA, USA",58,11252,19.15934594,2726805,545
"Milwaukee County, WI, USA",126,886,3.60257873,1417906,283
"Arlington County, Arlington, VA, USA",33,4688,5.257822201,4092437,818
"Cumberland County, PA, USA",131,11125,21.89305518,2067544,413
"Suffolk County, NY, USA",125,154,24.00741976,9280308,1856
"Cecil County, MD, USA",51,11644,1.50411057,7693974,1538
"Kent County, DE, USA",114,4182,9.812298382,736114,147
"Palm Beach County, FL, USA",81,8523,3.242426744,8732606,1746
"Los Angeles County, CA, USA",79,5548,21.6343393,1214104,242
"Los Angeles County, CA, USA",17,9976,18.76368267,1214104,242
"Honolulu County, HI, USA",33,8058,9.375951118,458547,91
"Sarasota County, FL, USA",127,7105,11.42561734,12128650,2425
"Manatee County, FL, USA",76,11387,2.553648235,11649638,2329
"Newport County, RI, USA",93,7608,10.83577625,4775492,955
"Miami-Dade County, FL, USA",27,10059,22.15099096,4518308,903
"Yolo County, CA, USA",103,2338,17.32885873,4270464,854
"Douglas County, NE, USA",52,2630,19.36939962,10514390,2102
"Pinellas County, FL, USA",126,7360,22.00132981,9904308,1980
"King County, WA, USA",98,7591,23.91781204,2726805,545
"Miami-Dade County, FL, USA",33,4096,14.42802969,4518308,903
"Miami-Dade County, FL, USA",143,11884,17.78020063,4518308,903
"Lincoln County, OR, USA",100,8037,18.8178233,3663964,732
"Humboldt County, CA, USA",95,3538,24.29413001,9769130,1953
"Virginia Beach, VA, USA",77,8381,3.225324704,8317810,1663
"Palm Beach County, FL, USA",91,10779,24.50259605,8732606,1746
"Miami-Dade County, FL, USA",124,10790,24.52037048,4518308,903
"Miami-Dade County, FL, USA",67,4902,0.387149151,4518308,903
"Miami-Dade County, FL, USA",17,5250,0.138744419,4518308,903
"Palm Beach County, FL, USA",55,7373,10.29695318,8732606,1746
"Palm Beach County, FL, USA",25,2465,17.08419954,8732606,1746
"Worcester County, MD, USA",8,7481,20.66720935,3516629,703
"Newberry County, SC, USA",50,6809,7.454150113,10243731,2048
"Monmouth County, NJ, USA",2,7060,1.417586545,10682732,2136
"Collier County, FL, USA",100,3525,5.344624766,4263172,852
"Manatee County, FL, USA",105,12330,2.097549009,11649638,2329
"Brazoria County, TX, USA",117,4769,18.30430809,10194627,2038
"Lehigh County, PA, USA",105,5969,2.433910846,11383891,2276
"King County, WA, USA",85,8617,7.741996196,2726805,545
"Palm Beach County, FL, USA",82,6643,24.83263009,8732606,1746
"Los Angeles County, CA, USA",107,954,2.517821248,1214104,242
"Lake County, IL, USA",60,2164,5.957131417,7648079,1529
"Sheboygan County, WI, USA",3,5477,11.04433723,674491,134
"Pinellas County, FL, USA",72,446,6.458036798,9904308,1980
"Pinellas County, FL, USA",61,4517,3.638407026,9904308,1980
"San Diego County, CA, USA",21,3019,4.654718859,7853477,1570
"Gila County, AZ, USA",102,10301,21.37610867,4156081,831
"San Diego County, CA, USA",85,6584,5.287329945,7853477,1570
"Palm Beach County, FL, USA",149,7740,4.403883947,8732606,1746
"Kent County, RI, USA",104,6298,3.350309652,3765194,753
"Beaufort County, SC, USA",125,10475,10.44329586,5743868,1148
"Miami-Dade County, FL, USA",5,11438,2.26014575,4518308,903
"Hawaii County, HI, USA",11,5358,22.18938046,7518150,1503
"Palm Beach County, FL, USA",14,3524,0.628255575,8732606,1746
"Alexandria, VA, USA",27,6652,6.867946793,10314898,2062
"Carteret County, NC, USA",131,6184,13.43625558,1244281,248
"Lucas County, OH, USA",89,11647,14.96309337,3597514,719
"Sussex County, DE, USA",35,5915,15.02153014,2084925,416
"Palm Beach County, FL, USA",36,8527,2.291128518,8732606,1746
"Charlotte County, FL, USA",107,8116,9.586010673,6584509,1316
"Carteret County, NC, USA",120,6521,18.05708258,1244281,248
"Colleton County, SC, USA",68,6166,9.003994852,6327439,1265
"Honolulu County, HI, USA",104,4469,11.27075689,458547,91
"Indian River County, FL, USA",134,1877,16.67857996,4124460,824
"Sullivan County, NH, USA",149,8443,8.41733362,9096726,1819
"Miami-Dade County, FL, USA",133,7939,16.23187515,4518308,903
"Clatsop County, OR, USA",78,11666,2.718202842,3157977,631
"Hartford County, CT, USA",149,10708,22.97736184,9827347,1965
"Los Angeles County, CA, USA",141,1218,16.20195577,1214104,242
"Alpena County, MI, USA",27,1508,19.81582919,8017616,1603
"San Mateo County, CA, USA",99,9254,4.658705664,7237370,1447
"San Diego County, CA, USA",88,8302,12.76909231,7853477,1570
"Maui County, HI, USA",96,2513,17.86082203,5575846,1115
"Miami-Dade County, FL, USA",4,7731,14.16598767,4518308,903
"Wake County, NC, USA",68,4069,4.551082136,6072021,1214
"Los Angeles County, CA, USA",147,7193,6.938564697,1214104,242
"Volusia County, FL, USA",59,9800,18.42779456,10409900,2081
"Los Angeles County, CA, USA",140,1196,20.83571172,1214104,242
"Brazoria County, TX, USA",110,11447,10.03251888,10194627,2038
"Liberty County, GA, USA",81,5883,20.93131485,7707685,1541
"San Mateo County, CA, USA",53,1323,0.332458547,7237370,1447
"Hillsborough County, FL, USA",70,3212,0.554545467,2408043,481
"San Luis Obispo County, CA, USA",135,2412,23.99186629,9389152,1877
"Palm Beach County, FL, USA",60,5746,13.83436012,8732606,1746
"Humboldt County, CA, USA",133,3879,9.119078301,9769130,1953
"Los Angeles County, CA, USA",137,9151,10.22281635,1214104,242
"Worcester County, MD, USA",147,531,22.79188406,3516629,703
"San Mateo County, CA, USA",23,3544,15.29611285,7237370,1447
"Leelanau County, MI, USA",123,98,11.15079699,9538233,1907
"San Diego County, CA, USA",28,3313,8.719760911,7853477,1570
"Suffolk County, NY, USA",33,5398,23.78127181,9280308,1856
"Norfolk, VA, USA",60,230,16.81502251,7120477,1424
"Richmond County, Staten Island, NY, USA",10,5392,19.73466773,5577314,1115
"Santa Cruz County, CA, USA",123,3919,0.460688972,9311168,1862
"St Johns County, FL, USA",49,10307,2.671485958,9244498,1848
"Barnstable County, MA, USA",76,5810,4.805648317,478154,95
"Volusia County, FL, USA",137,8648,6.69501937,10409900,2081
"San Mateo County, CA, USA",137,11252,23.32674242,7237370,1447
"Kenosha County, WI, USA",70,2749,11.1831299,7366853,1473
"Clearfield County, PA, USA",100,11594,11.08263101,10828552,2165
"Virginia Beach, VA, USA",135,12297,10.77833845,8317810,1663
"Snohomish County, WA, USA",12,5101,8.082451182,7464319,1492
"Pinellas County, FL, USA",59,10322,2.195714425,9904308,1980
"Pinellas County, FL, USA",82,7441,23.5746052,9904308,1980
"Palm Beach County, FL, USA",136,7636,6.939111296,8732606,1746
"Dougherty County, GA, USA",120,4111,20.48709385,2007006,401
"Cook County, IL, USA",80,2879,19.15895496,9067522,1813
"King County, WA, USA",103,2554,11.58157731,2726805,545
"Pinellas County, FL, USA",48,7234,14.34882525,9904308,1980
"Cook County, IL, USA",61,671,20.06019524,9067522,1813
"St Louis County, MN, USA",38,6548,21.9677407,12089299,2417
"San Diego County, CA, USA",23,11310,4.282284472,7853477,1570
"Miami-Dade County, FL, USA",138,2667,24.07384935,4518308,903
"Fairfax County, VA, USA",45,12119,2.420402557,4147338,829
"Snohomish County, WA, USA",44,2393,6.293630726,7464319,1492
"Pike County, AL, USA",150,5127,7.896947941,12177136,2435
"Santa Barbara County, CA, USA",74,7837,21.29442439,7045521,1409
"Suffolk County, NY, USA",64,11258,14.07416693,9280308,1856
"Douglas County, NE, USA",36,7022,5.792266926,10514390,2102
"New York County, New York, NY, USA",27,2445,0.662162239,3035344,607
"Palm Beach County, FL, USA",17,7405,19.89854491,8732606,1746
"Pasco County, FL, USA",73,2008,12.13134693,2975377,595
"Fairfax County, VA, USA",64,7184,17.51633784,4147338,829
"Douglas County, NE, USA",144,3810,1.726583181,10514390,2102
"San Diego County, CA, USA",114,131,2.435597935,7853477,1570
"Pinellas County, FL, USA",31,5042,21.94973908,9904308,1980
"Washington County, WI, USA",24,8301,0.167268559,10645870,2129
"Hampton, VA, USA",116,6067,22.33350179,9345868,1869
"Washington County, OR, USA",38,2165,17.27053861,4672539,934
"St Lucie County, FL, USA",41,4040,17.55154899,7424019,1484
"Leelanau County, MI, USA",75,1409,1.757603032,9538233,1907
"Sarasota County, FL, USA",124,11761,6.978129843,12128650,2425
"Barnstable County, MA, USA",76,7390,8.401214426,478154,95
"Orangeburg County, SC, USA",141,5316,1.103217587,6667147,1333
"Los Angeles County, CA, USA",103,5066,3.758074276,1214104,242
"Clatsop County, OR, USA",47,1627,6.513128456,3157977,631
"Miami-Dade County, FL, USA",68,1657,20.57681992,4518308,903
"Hillsborough County, FL, USA",20,581,14.06989999,2408043,481
"Duval County, FL, USA",72,5895,6.593413123,295351,59
"Pinellas County, FL, USA",97,713,8.710133937,9904308,1980
"Beaufort County, SC, USA",150,2222,19.38452895,5743868,1148
"Nantucket County, MA, USA",103,3620,5.413045063,6811804,1362
"Lucas County, OH, USA",88,3523,11.13090375,3597514,719
"Martin County, FL, USA",113,6234,14.98357437,1363198,272
"Douglas County, NE, USA",40,7831,8.224908815,10514390,2102
"Honolulu County, HI, USA",107,7030,16.35026804,458547,91
"Volusia County, FL, USA",28,8238,16.36047599,10409900,2081
"Clinton County, PA, USA",17,2958,5.656628839,1094132,218
"Pinellas County, FL, USA",85,12042,7.773014054,9904308,1980
"Palm Beach County, FL, USA",25,12205,17.25871539,8732606,1746
"Sonoma County, CA, USA",118,4698,23.98469241,4304791,860
"Miami-Dade County, FL, USA",54,9774,9.249205006,4518308,903
"San Diego County, CA, USA",95,4430,23.64879112,7853477,1570
"Livingston County, MI, USA",5,427,5.343981874,9714440,1942
"Horry County, SC, USA",27,3067,19.37273143,10311923,2062
"Los Angeles County, CA, USA",26,4608,4.576991621,1214104,242
"New London County, CT, USA",8,2393,23.6160525,5530638,1106
"Orange County, CA, USA",38,4460,3.475749002,6304735,1260
"Los Angeles County, CA, USA",48,7800,2.41182004,1214104,242
"Baldwin County, AL, USA",76,8513,18.16551154,11219138,2243
"Douglas County, NE, USA",135,5991,18.13850235,10514390,2102
"Brevard County, FL, USA",139,11785,7.748202046,10924815,2184
"Sarasota County, FL, USA",130,9668,13.81037965,12128650,2425
"San Diego County, CA, USA",24,8608,18.17426763,7853477,1570
"Kings County, Brooklyn, NY, USA",147,12241,2.2529179,4380429,876
"Los Angeles County, CA, USA",99,5167,3.832084742,1214104,242
"San Diego County, CA, USA",30,8436,21.93095746,7853477,1570
"Erie County, NY, USA",35,8067,13.75813072,7512282,1502
"Palm Beach County, FL, USA",65,6631,19.67470081,8732606,1746
"Volusia County, FL, USA",117,10992,14.19119075,10409900,2081
"Lincoln County, OR, USA",112,3281,22.71185273,3663964,732
"Douglas County, WI, USA",86,1105,23.38219297,1024110,204
"Cook County, IL, USA",92,11453,0.983916715,9067522,1813
"Maui County, HI, USA",60,4874,20.33046809,5575846,1115
"Orange County, FL, USA",121,634,0.146274203,4977527,995
"Grays Harbor County, WA, USA",14,7868,15.61470433,12029490,2405
"Pinellas County, FL, USA",42,9992,24.49241964,9904308,1980
"Maui County, HI, USA",146,2041,9.831116811,5575846,1115
"Palm Beach County, FL, USA",55,10130,10.54750844,8732606,1746
"Manatee County, FL, USA",123,1476,7.776873593,11649638,2329
"Palm Beach County, FL, USA",93,9468,17.16596388,8732606,1746
"Santa Cruz County, CA, USA",68,5033,15.83281109,9311168,1862
"Cook County, IL, USA",65,7824,17.97778994,9067522,1813
"St Johns County, FL, USA",76,8136,18.72114173,9244498,1848
"Volusia County, FL, USA",11,8000,5.767763939,10409900,2081
"San Diego County, CA, USA",30,9999,4.142732518,7853477,1570
"Volusia County, FL, USA",98,8069,19.10442877,10409900,2081
"Miami-Dade County, FL, USA",94,1081,22.81664599,4518308,903
"Orleans Parish, New Orleans, LA, USA",138,8084,13.65327174,6046016,1209
"Nueces County, TX, USA",87,6261,21.6226381,2494422,498
"San Mateo County, CA, USA",8,3135,0.756433613,7237370,1447
"Westchester County, NY, USA",85,5083,4.088951639,7149925,1429
"Washington, DC, USA",37,9906,2.402921713,8678626,1735
"San Diego County, CA, USA",96,1769,9.58738845,7853477,1570
"Pinellas County, FL, USA",127,7992,7.217606584,9904308,1980
"Franklin County, FL, USA",38,3298,20.98892237,5890127,1178
"Palm Beach County, FL, USA",99,239,20.81254521,8732606,1746
"Richmond County, Staten Island, NY, USA",145,7458,18.85163486,5577314,1115
"Charlotte County, FL, USA",62,2186,23.41553598,6584509,1316
"Pinellas County, FL, USA",37,7717,0.050114395,9904308,1980
"Pasco County, FL, USA",88,9609,24.39946129,2975377,595
"Prince George's County, MD, USA",69,11660,20.67959092,9078080,1815
"Volusia County, FL, USA",38,11874,20.67937374,10409900,2081
"Volusia County, FL, USA",95,6596,4.173366967,10409900,2081
"San Francisco County, CA, USA",56,3992,19.23812723,1677439,335
"Liberty County, GA, USA",120,11200,12.46529922,7707685,1541
"Douglas County, NE, USA",16,7700,14.95594882,10514390,2102
"Los Angeles County, CA, USA",62,1405,14.5561511,1214104,242
"Glynn County, GA, USA",56,8859,13.12709795,8314274,1662
"King County, WA, USA",4,11159,10.48695592,2726805,545
"Palm Beach County, FL, USA",44,5191,0.572920334,8732606,1746
"Allegheny County, PA, USA",82,4416,19.807289,8659794,1731
"Lucas County, OH, USA",124,2244,22.25724438,3597514,719
"Los Angeles County, CA, USA",78,1852,25.08917491,1214104,242
"Los Angeles County, CA, USA",3,11785,19.44570348,1214104,242
"Kenai Peninsula Borough, AK, USA",108,1851,3.99475257,2153951,430
"Orleans Parish, New Orleans, LA, USA",42,10886,19.80007689,6046016,1209
"Suffolk County, NY, USA",140,9591,9.865643326,9280308,1856
"Volusia County, FL, USA",113,6375,22.72522434,10409900,2081
"Dane County, WI, USA",65,11589,11.40632583,9840982,1968
"Charleston County, SC, USA",53,3800,3.913929978,4774582,954
"Clark County, WA, USA",88,5701,24.94765126,12265879,2453
"San Diego County, CA, USA",100,6934,1.617265059,7853477,1570
"Lucas County, OH, USA",30,7984,4.631508479,3597514,719
"Los Angeles County, CA, USA",76,6800,6.117638504,1214104,242
"Washington County, ME, USA",28,3349,24.34191926,6796551,1359
"San Diego County, CA, USA",10,5696,1.920798546,7853477,1570
"Volusia County, FL, USA",134,10136,7.953661675,10409900,2081
"Los Angeles County, CA, USA",75,1186,13.72774023,1214104,242
"San Luis Obispo County, CA, USA",77,6626,20.74161565,9389152,1877
"Douglas County, NE, USA",80,3558,9.976169357,10514390,2102
"Pinellas County, FL, USA",145,8661,1.658298341,9904308,1980
"Miami-Dade County, FL, USA",40,8635,24.08779363,4518308,903
"Jasper County, IA, USA",52,8,11.38393874,7246436,1449
"Broward County, FL, USA",105,11607,18.0660694,2737526,547
"Baraga County, MI, USA",123,2023,15.93930612,5411468,1082
"New York County, New York, NY, USA",69,12307,2.772571184,3035344,607
"Palm Beach County, FL, USA",135,8032,16.88687468,8732606,1746
"Pinellas County, FL, USA",25,4814,24.94766627,9904308,1980
"Worcester County, MA, USA",92,11508,2.316495207,10324437,2064
"Los Angeles County, CA, USA",17,2977,24.62113306,1214104,242
"Pinellas County, FL, USA",105,7236,4.423481388,9904308,1980
"Los Angeles County, CA, USA",54,10657,19.02601125,1214104,242
"Miami-Dade County, FL, USA",136,2575,4.239909641,4518308,903
"Pinellas County, FL, USA",126,4709,15.663997,9904308,1980
"Monroe County, PA, USA",112,873,3.911135867,1895236,379
"Cuyahoga County, OH, USA",124,10137,17.18729244,11208521,2241
"Boulder County, CO, USA",69,8811,4.138023975,11977115,2395
"Hernando County, FL, USA",147,5148,16.31375223,10114599,2022
"Loudoun County, VA, USA",125,4384,24.03171649,5797013,1159
"Pinellas County, FL, USA",36,10653,6.231104956,9904308,1980
"San Diego County, CA, USA",20,4064,2.963795852,7853477,1570
"Brunswick County, NC, USA",143,4555,21.48619777,1486845,297
"Palm Beach County, FL, USA",108,12155,4.241463119,8732606,1746
"Washington County, RI, USA",110,11902,7.785406429,5048667,1009
"Pinellas County, FL, USA",137,10517,22.36406175,9904308,1980
"New London County, CT, USA",71,7971,3.750288162,5530638,1106
"Virginia Beach, VA, USA",78,5120,7.574793559,8317810,1663
"Dupage County, IL, USA",85,4791,12.87734232,7730115,1546
"Miami-Dade County, FL, USA",93,477,8.169512225,4518308,903
"Queen Anne's County, MD, USA",32,4222,12.72080947,3844971,768
"Kings County, Brooklyn, NY, USA",150,2217,22.29852662,4380429,876
"Indian River County, FL, USA",79,10721,21.76320973,4124460,824
"Los Angeles County, CA, USA",41,12343,9.961130812,1214104,242
"Miami-Dade County, FL, USA",32,4113,7.377307551,4518308,903
"Indian River County, FL, USA",76,3447,0.506229036,4124460,824
"Washington County, RI, USA",94,3345,19.203378,5048667,1009
"Colleton County, SC, USA",144,9512,4.752621643,6327439,1265
"Orange County, CA, USA",64,4708,18.29040228,6304735,1260
"Hillsborough County, FL, USA",133,8030,3.674578293,2408043,481
"Los Angeles County, CA, USA",59,16,4.919202893,1214104,242
"Fairfax County, VA, USA",10,6030,16.73589261,4147338,829
"San Diego County, CA, USA",78,7988,0.785006384,7853477,1570
"Jefferson County, WA, USA",26,5935,7.295538003,5289155,1057
"Miami-Dade County, FL, USA",145,2766,11.45626559,4518308,903
"San Diego County, CA, USA",82,11830,21.82170282,7853477,1570
"Franklin County, MA, USA",5,4064,7.932675954,9408131,1881
"Volusia County, FL, USA",64,9924,8.671574157,10409900,2081
"Queen Anne's County, MD, USA",53,705,15.45808005,3844971,768
"Charleston County, SC, USA",121,11279,21.40688754,4774582,954
"Delaware County, OH, USA",77,11657,16.10749745,8733920,1746
"Santa Cruz County, CA, USA",123,5876,4.690398204,9311168,1862
"Martin County, FL, USA",67,3454,5.821284136,1363198,272
"Pinellas County, FL, USA",75,12125,1.613298496,9904308,1980
"Douglas County, NE, USA",38,467,18.86956495,10514390,2102
"Kent County, RI, USA",98,8739,11.47845149,3765194,753
"Sarasota County, FL, USA",113,11409,0.138804728,12128650,2425
"Los Angeles County, CA, USA",30,9609,12.09150759,1214104,242
"Brazoria County, TX, USA",80,10611,22.29508976,10194627,2038
"Lincoln County, OR, USA",68,4612,22.23315898,3663964,732
"Virginia Beach, VA, USA",74,7777,3.602097247,8317810,1663
"Horry County, SC, USA",37,8308,23.97700711,10311923,2062
"Okaloosa County, FL, USA",84,10962,19.59188283,12234950,2446
"Brevard County, FL, USA",130,8597,12.79134046,10924815,2184
"Anchorage, AK, USA",101,8324,23.69258479,3382776,676
"Orange County, CA, USA",146,4665,16.20120752,6304735,1260
"San Diego County, CA, USA",50,9254,5.061907946,7853477,1570
"Colleton County, SC, USA",112,7816,10.5289296,6327439,1265
"Hartford County, CT, USA",111,6972,11.82204568,9827347,1965
"Ventura County, CA, USA",21,360,16.12864789,11216018,2243
"Pinellas County, FL, USA",44,9815,11.41339973,9904308,1980
"Lane County, OR, USA",57,473,10.36773717,6802530,1360
"Suffolk County, NY, USA",100,8473,4.774412494,9280308,1856
"Dare County, NC, USA",143,5254,4.072734368,467379,93
"Volusia County, FL, USA",113,6008,11.29758032,10409900,2081
"Colleton County, SC, USA",49,1437,14.14390081,6327439,1265
"Dare County, NC, USA",6,920,13.58156271,467379,93
"Leelanau County, MI, USA",67,2348,1.396084974,9538233,1907
"Santa Barbara County, CA, USA",14,8015,14.95732879,7045521,1409
"Miami-Dade County, FL, USA",69,4689,22.51352431,4518308,903
"Miami-Dade County, FL, USA",66,9876,12.45089162,4518308,903
"Palm Beach County, FL, USA",37,1128,12.53997601,8732606,1746
"Indian River County, FL, USA",17,281,3.328246426,4124460,824
"Mendocino County, CA, USA",132,10381,5.375542497,9863517,1972
"Pasco County, FL, USA",61,987,1.599037293,2975377,595
"Virginia Beach, VA, USA",25,9506,4.235500988,8317810,1663
"Rockingham County, NH, USA",142,823,12.53374896,5146074,1029
"King County, WA, USA",88,3891,2.123924562,2726805,545
"Maui County, HI, USA",130,10033,10.20936314,5575846,1115
"Volusia County, FL, USA",49,9293,24.57846615,10409900,2081
"Santa Barbara County, CA, USA",146,3969,13.19894027,7045521,1409
"Douglas County, NE, USA",17,3893,20.67461729,10514390,2102
"Los Angeles County, CA, USA",31,7139,13.80667069,1214104,242
"Rockingham County, NH, USA",102,1726,7.865349567,5146074,1029
"Henrico County, VA, USA",91,12289,3.086345614,11732775,2346
"Erie County, NY, USA",114,2980,3.354767193,7512282,1502
"Baldwin County, AL, USA",44,2181,22.55762394,11219138,2243
"Volusia County, FL, USA",117,11984,3.592448505,10409900,2081
"Santa Barbara County, CA, USA",139,3599,15.8738502,7045521,1409
"Volusia County, FL, USA",76,3214,7.974479714,10409900,2081
"Broward County, FL, USA",8,7466,0.750592581,2737526,547
"Volusia County, FL, USA",30,3273,9.058241263,10409900,2081
"Pinellas County, FL, USA",35,8624,16.36226632,9904308,1980
"San Mateo County, CA, USA",45,3772,9.826382843,7237370,1447
"Pinellas County, FL, USA",142,8626,12.84202883,9904308,1980
"Palm Beach County, FL, USA",103,465,18.19992828,8732606,1746
"Volusia County, FL, USA",92,11182,10.51546408,10409900,2081
"San Mateo County, CA, USA",105,10901,12.46820799,7237370,1447
"Hillsborough County, FL, USA",91,7478,0.826065867,2408043,481
"San Francisco County, CA, USA",59,10591,13.10158219,1677439,335
"Allegheny County, PA, USA",105,7438,7.229982906,8659794,1731
"Hillsborough County, FL, USA",9,7382,12.88214671,2408043,481
"Calvert County, MD, USA",26,6805,21.5100028,6322354,1264
"Arlington County, Arlington, VA, USA",27,3404,21.7256614,4092437,818
"Pinellas County, FL, USA",106,11041,18.73244172,9904308,1980
"Cumberland County, ME, USA",3,11228,23.89422051,9265149,1853
"Pinellas County, FL, USA",42,2921,24.86564855,9904308,1980
"Orange County, CA, USA",1,4989,9.026466286,6304735,1260
"Levy County, FL, USA",27,11371,23.58063318,598798,119
"Marin County, CA, USA",92,4368,20.24644887,2222618,444
"Barnstable County, MA, USA",27,1012,3.270964888,478154,95
"Santa Barbara County, CA, USA",6,2169,23.56635906,7045521,1409
"Volusia County, FL, USA",148,740,18.27922403,10409900,2081
"Santa Cruz County, CA, USA",23,6794,21.59813205,9311168,1862
"Washington County, OR, USA",141,2795,6.36868139,4672539,934
"Alameda County, CA, USA",55,3623,8.053253564,11589551,2317
"Colleton County, SC, USA",108,7129,14.24375402,6327439,1265
"Douglas County, NE, USA",25,6049,16.7157749,10514390,2102
"Duval County, FL, USA",89,2661,8.666697397,295351,59
"Miami-Dade County, FL, USA",124,3217,13.89908112,4518308,903
"Los Angeles County, CA, USA",78,1629,6.380339103,1214104,242
"Pinellas County, FL, USA",47,7781,6.824912654,9904308,1980
"Santa Cruz County, CA, USA",148,10828,1.363199499,9311168,1862
"Sarpy County, NE, USA",86,1440,21.4122443,5580498,1116
"Leelanau County, MI, USA",113,7487,10.66365982,9538233,1907
"Jasper County, IA, USA",107,10339,23.48220008,7246436,1449
"Pinellas County, FL, USA",88,11549,12.66579714,9904308,1980
"Palm Beach County, FL, USA",88,5301,8.436546711,8732606,1746
"Northampton County, VA, USA",23,10040,13.92218625,9181338,1836
"Miami-Dade County, FL, USA",136,11627,16.42091784,4518308,903
"Douglas County, NE, USA",141,11613,6.914551515,10514390,2102
"Douglas County, NE, USA",101,10621,23.00922808,10514390,2102
"San Diego County, CA, USA",104,10516,5.183139858,7853477,1570
"Onslow County, NC, USA",33,5456,7.931783303,9053570,1810
"Washington County, WI, USA",105,9938,6.387556296,10645870,2129
"Orleans Parish, New Orleans, LA, USA",38,10623,12.11984311,6046016,1209
"Miami-Dade County, FL, USA",71,3873,1.12856794,4518308,903
"New York County, New York, NY, USA",114,5253,20.07164654,3035344,607
"Indian River County, FL, USA",92,6158,4.377268879,4124460,824
