,Zone,Food Wrappers,Miles,Latitude,Longitude,Wildlife,Pollution,Terrain,Population,Volunteers
739,"Los Angeles County, CA, USA",2,3.5765,34.14525,-118.15233,46,4549,5.590312052817549,1214104,242
6343,"Maui County, HI, USA",32,1.9581,20.86924,-156.67614,60,4509,6.72052249534999,5575846,1115
58,"New Haven County, CT, USA",9,0.2213,41.26058,-72.93472,15,2005,9.778691845596917,11309618,2261
2414,"Pinellas County, FL, USA",2,0.0871,27.78248,-82.77837,30,4715,18.088910623489877,9904308,1980
3152,"Pinellas County, FL, USA",5,1.2605,27.73249,-82.74755,27,4857,23.846783855484865,9904308,1980
9394,"Cook County, IL, USA",0,0.5,41.92559,-87.63005,65,545,22.90106938289313,9067522,1813
325,"Los Angeles County, CA, USA",5,0.0226,33.98508,-117.98269,69,8370,17.867271028186792,1214104,242
4944,"Broward County, FL, USA",7,0.17300000000000001,26.05849,-80.11151,144,5580,12.29311820447955,2737526,547
4859,"Palm Beach County, FL, USA",1,1.0126,26.35316,-80.07148,26,1562,10.354788401003402,8732606,1746
8148,"Santa Barbara County, CA, USA",101,2.0,34.510055460737,-120.50173502487,4,9615,12.835908006964251,7045521,1409
1070,"Los Angeles County, CA, USA",6,1.0699,34.1892,-118.10299,42,8342,7.216149891930732,1214104,242
3614,"Colleton County, SC, USA",21,1.0205,32.48593,-80.3225,59,9008,15.915904120632584,6327439,1265
12599,"Palm Beach County, FL, USA",19,1.9478,26.46901,-80.05682,126,5406,0.0852680826912363,8732606,1746
3505,"Northampton County, VA, USA",0,0.0,37.16851,-75.98769,109,11662,11.099882845531907,9181338,1836
15639,"St Johns County, FL, USA",0,0.0,29.92331,-81.3243,26,3536,14.962243060058574,9244498,1848
4372,"St Louis County, MN, USA",3,0.7132,46.81568,-92.10477,0,2094,19.290271980472717,12089299,2417
3437,"Honolulu County, HI, USA",6,0.011000000000000001,21.68018,-158.03495,145,1212,21.226623971326962,458547,91
9706,"Erie County, NY, USA",0,0.4,42.8841,-78.8903,98,2261,5.62027214053124,7512282,1502
2889,"San Diego County, CA, USA",0,0.0191,32.84968,-116.87844,98,4028,19.398813446539386,7853477,1570
13362,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,134,481,16.232108054914445,10409900,2081
12579,"Southampton County, VA, USA",3,0.0,36.80523,-76.97742,28,3989,8.41251086400612,2624021,524
9721,"Berrien County, MI, USA",0,0.1,42.11109,-86.48805,62,3379,5.569408653308945,9262030,1852
14698,"Pueblo County, CO, USA",0,0.0,38.276528,-104.609447,67,6710,1.926257488227559,5077414,1015
14964,"Palm Beach County, FL, USA",0,0.204,26.46925,-80.05788,97,9854,12.388035069490833,8732606,1746
8751,"Martin County, FL, USA",38,0.9665,27.06697,-80.11524,145,8218,23.089275209521336,1363198,272
7911,"Kings County, Brooklyn, NY, USA",77,0.75,40.602868026416,-73.93272223511,64,11990,13.090075836860226,4380429,876
14337,"Palm Beach County, FL, USA",14,2.9535,26.46934,-80.05876,30,11662,21.66469021813542,8732606,1746
3722,"King County, WA, USA",0,0.0,47.40039,-122.30844,58,11252,19.159345944676872,2726805,545
7587,"Milwaukee County, WI, USA",5,1.0,43.0883964926,-88.054382881377,126,886,3.602578729817255,1417906,283
11056,"Arlington County, Arlington, VA, USA",7,0.0,38.86801,-77.08513,33,4688,5.257822201240082,4092437,818
2109,"Cumberland County, PA, USA",2,0.0,40.27287,-76.94881,131,11125,21.893055183150313,2067544,413
1697,"Suffolk County, NY, USA",1,0.0067,40.76182,-72.83882,125,154,24.007419761441902,9280308,1856
3431,"Cecil County, MD, USA",1,0.0256,39.62381,-75.94941,51,11644,1.5041105699645598,7693974,1538
12408,"Kent County, DE, USA",70,1.0,39.340914048237,-75.504628909665,114,4182,9.812298382481108,736114,147
4041,"Palm Beach County, FL, USA",3,2.4165,26.46936,-80.05869,81,8523,3.2424267436700456,8732606,1746
766,"Los Angeles County, CA, USA",0,0.0049,34.13421,-117.97757,79,5548,21.634339304062497,1214104,242
6645,"Los Angeles County, CA, USA",2,0.0113,34.04238,-118.70953,17,9976,18.763682674369996,1214104,242
2155,"Honolulu County, HI, USA",33,2.1355,21.27562,-157.82539,33,8058,9.37595111848993,458547,91
14893,"Sarasota County, FL, USA",25,0.33,27.354536734164,-82.548132764696,127,7105,11.425617337557458,12128650,2425
6854,"Manatee County, FL, USA",6,0.0,27.44503,-82.46964,76,11387,2.5536482354109173,11649638,2329
8278,"Newport County, RI, USA",96,0.75,41.487632309935,-71.256577604299,93,7608,10.835776246009313,4775492,955
119,"Miami-Dade County, FL, USA",0,0.0,25.41903,-80.41595,27,10059,22.15099096429729,4518308,903
12722,"Yolo County, CA, USA",28,0.01,38.599155154801,-121.55642350298,103,2338,17.328858732356473,4270464,854
14096,"Douglas County, NE, USA",0,0.25,41.252086,-95.962992,52,2630,19.36939961668333,10514390,2102
3200,"Pinellas County, FL, USA",5,1.2605,27.73249,-82.74755,126,7360,22.00132980972784,9904308,1980
5700,"King County, WA, USA",0,0.0218,47.71298,-122.37818,98,7591,23.917812040085114,2726805,545
12693,"Miami-Dade County, FL, USA",4,0.0,25.74511,-80.17961,33,4096,14.428029688299498,4518308,903
4947,"Miami-Dade County, FL, USA",7,0.3488,25.4618,-80.3364,143,11884,17.78020063000353,4518308,903
1440,"Lincoln County, OR, USA",0,0.25,44.940528505732,-124.02362772961,100,8037,18.817823300366175,3663964,732
13899,"Humboldt County, CA, USA",0,0.25,40.821183532428,-124.18944417075,95,3538,24.294130011744564,9769130,1953
92,"Virginia Beach, VA, USA",1,6.1224,36.69416,-75.92302,77,8381,3.2253247041913533,8317810,1663
2042,"Palm Beach County, FL, USA",3,0.0317,26.71377,-80.05004,91,10779,24.50259605452108,8732606,1746
11015,"Miami-Dade County, FL, USA",6,0.1384,25.73428,-80.25217,124,10790,24.520370475053248,4518308,903
8765,"Miami-Dade County, FL, USA",3,0.025,25.71813,-80.25876,67,4902,0.3871491514104288,4518308,903
4743,"Miami-Dade County, FL, USA",12,0.0109,25.73397,-80.22756,17,5250,0.13874441877637828,4518308,903
2123,"Palm Beach County, FL, USA",12,0.5,26.927681505831,-80.069632055542,55,7373,10.296953182886453,8732606,1746
11212,"Palm Beach County, FL, USA",19,1.9478,26.46901,-80.05682,25,2465,17.084199538197865,8732606,1746
3317,"Worcester County, MD, USA",5,0.0167,38.39545,-75.16074,8,7481,20.66720934541327,3516629,703
10478,"Newberry County, SC, USA",0,5.0,34.079658212915,-81.402822391374,50,6809,7.454150112802897,10243731,2048
902,"Monmouth County, NJ, USA",18,0.6478,40.34702,-73.97373,2,7060,1.4175865445644311,10682732,2136
13544,"Collier County, FL, USA",4,0.0,26.25381,-81.82322,100,3525,5.34462476568515,4263172,852
14881,"Manatee County, FL, USA",0,0.0041,27.52794,-82.50942,105,12330,2.09754900891321,11649638,2329
20,"Brazoria County, TX, USA",16,1.6052,28.95126,-95.2873,117,4769,18.304308089632602,10194627,2038
12442,"Lehigh County, PA, USA",0,0.018000000000000002,40.64752,-75.46731,105,5969,2.4339108456078122,11383891,2276
12058,"King County, WA, USA",2,0.0109,47.56558,-122.19049,85,8617,7.741996196271279,2726805,545
4715,"Palm Beach County, FL, USA",0,0.0024,26.35448,-80.06923,82,6643,24.832630092735236,8732606,1746
7337,"Los Angeles County, CA, USA",7,0.8328,34.18275,-118.09727,107,954,2.517821248298202,1214104,242
7048,"Lake County, IL, USA",1,24.971,42.15594,-87.87214,60,2164,5.957131417381704,7648079,1529
10011,"Sheboygan County, WI, USA",51,0.5,43.75408,-87.70776,3,5477,11.044337227697948,674491,134
3157,"Pinellas County, FL, USA",5,1.2605,27.73249,-82.74755,72,446,6.458036797687129,9904308,1980
1572,"Pinellas County, FL, USA",2,0.0,27.95537,-82.79963,61,4517,3.6384070262177177,9904308,1980
10714,"San Diego County, CA, USA",23,0.3119,32.76037,-117.25141,21,3019,4.65471885936528,7853477,1570
1480,"Gila County, AZ, USA",0,0.0,34.30225,-111.35413,102,10301,21.376108666530893,4156081,831
3308,"San Diego County, CA, USA",12,0.1539,32.76,-117.25106,85,6584,5.2873299449936,7853477,1570
13194,"Palm Beach County, FL, USA",12,0.0076,26.38354,-80.12279,149,7740,4.403883946720433,8732606,1746
8763,"Kent County, RI, USA",87,0.5,41.690679707307,-71.366997626668,104,6298,3.350309652276947,3765194,753
4668,"Beaufort County, SC, USA",3,1.2263,32.24225,-80.68653,125,10475,10.443295857192672,5743868,1148
14788,"Miami-Dade County, FL, USA",7,1.2964,25.7317,-80.23381,5,11438,2.260145749736266,4518308,903
12729,"Hawaii County, HI, USA",51,1.0,19.975,-155.84388,11,5358,22.189380455886752,7518150,1503
4256,"Palm Beach County, FL, USA",4,1.6923,26.47894,-80.05461,14,3524,0.6282555753653235,8732606,1746
4970,"Alexandria, VA, USA",38,0.0,38.81284,-77.11809,27,6652,6.867946792689302,10314898,2062
14318,"Carteret County, NC, USA",0,0.25,34.726830746507,-76.665896735596,131,6184,13.43625557690478,1244281,248
7701,"Lucas County, OH, USA",135,0.5,41.615106770163,-83.71461616818,89,11647,14.963093367117372,3597514,719
12347,"Sussex County, DE, USA",687,7.0,38.719431738651,-75.075835367287,35,5915,15.021530144826583,2084925,416
7423,"Palm Beach County, FL, USA",5,2.5343,26.46943,-80.05879,36,8527,2.2911285181572296,8732606,1746
7143,"Charlotte County, FL, USA",41,2.0,26.909998634467,-82.095712798481,107,8116,9.586010672819873,6584509,1316
1994,"Carteret County, NC, USA",0,0.0,34.69808,-76.74075,120,6521,18.05708257687043,1244281,248
1219,"Colleton County, SC, USA",3,0.0,32.50469,-80.29494,68,6166,9.0039948515247,6327439,1265
10809,"Honolulu County, HI, USA",0,0.006999999999999999,21.61476,-157.9173,104,4469,11.270756891424243,458547,91
943,"Indian River County, FL, USA",2,0.0,27.66365,-80.35863,134,1877,16.67857996487756,4124460,824
11693,"Sullivan County, NH, USA",0,0.25,43.350574,-72.391552,149,8443,8.417333620131984,9096726,1819
5155,"Miami-Dade County, FL, USA",51,1.4544,25.81389,-80.13319,133,7939,16.231875150334936,4518308,903
8886,"Clatsop County, OR, USA",0,2.0,46.188453835574,-123.85425765343,78,11666,2.718202842270458,3157977,631
4017,"Hartford County, CT, USA",0,0.0074,41.61327,-72.82473,149,10708,22.977361835361513,9827347,1965
5814,"Los Angeles County, CA, USA",2,1.6976,34.15003,-118.1654,141,1218,16.20195576893172,1214104,242
10152,"Alpena County, MI, USA",273,0.1,45.05473,-83.43801,27,1508,19.81582918559529,8017616,1603
11603,"San Mateo County, CA, USA",14,1.0,37.476767849992,-122.12050983465,99,9254,4.6587056644821185,7237370,1447
1185,"San Diego County, CA, USA",27,0.2056,32.75988,-117.25217,88,8302,12.769092308300104,7853477,1570
6379,"Maui County, HI, USA",117,0.0,20.87256,-156.67753,96,2513,17.8608220293977,5575846,1115
8050,"Miami-Dade County, FL, USA",3,0.1031,25.73095,-80.23389,4,7731,14.16598766513462,4518308,903
11777,"Wake County, NC, USA",0,0.5,35.84879102307,-78.689284074495,68,4069,4.551082136437389,6072021,1214
6109,"Los Angeles County, CA, USA",8,1.5162,34.0053,-118.49137,147,7193,6.93856469683146,1214104,242
13410,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,59,9800,18.427794561268463,10409900,2081
704,"Los Angeles County, CA, USA",0,0.0346,34.1748,-118.09707,140,1196,20.83571172243925,1214104,242
12,"Brazoria County, TX, USA",0,0.3378,28.93878,-95.29534,110,11447,10.03251887926094,10194627,2038
14452,"Liberty County, GA, USA",0,1.0,31.803864,-81.453727,81,5883,20.931314845578296,7707685,1541
428,"San Mateo County, CA, USA",15,0.0404,37.52728,-122.26149,53,1323,0.3324585469322427,7237370,1447
1320,"Hillsborough County, FL, USA",20,0.0539,28.06158,-82.41551,70,3212,0.5545454671883917,2408043,481
10901,"San Luis Obispo County, CA, USA",153,0.5,35.374942984055,-120.86331633174,135,2412,23.991866294783986,9389152,1877
2095,"Palm Beach County, FL, USA",2,1.0,26.334242901135,-80.072785227774,60,5746,13.834360122804675,8732606,1746
14932,"Humboldt County, CA, USA",0,0.25,40.858817787576,-124.0892641381,133,3879,9.119078301043151,9769130,1953
683,"Los Angeles County, CA, USA",8,0.2228,34.07197,-118.35838,137,9151,10.222816352755684,1214104,242
3373,"Worcester County, MD, USA",1,0.0112,38.11921,-75.18241,147,531,22.791884056469364,3516629,703
5739,"San Mateo County, CA, USA",35,1.6743,37.51214,-122.19502,23,3544,15.296112853366237,7237370,1447
9428,"Leelanau County, MI, USA",0,0.1,44.91291,-86.03853,123,98,11.150796992813579,9538233,1907
6783,"San Diego County, CA, USA",5,0.018000000000000002,33.25415,-117.29319,28,3313,8.719760911424546,7853477,1570
2245,"Suffolk County, NY, USA",1,0.0,40.61226,-73.42092,33,5398,23.781271810953175,9280308,1856
9173,"Norfolk, VA, USA",53,2.0,36.875208019314,-76.327610693268,60,230,16.815022514253897,7120477,1424
2727,"Richmond County, Staten Island, NY, USA",14,0.7647,40.51704,-74.18998,10,5392,19.73466773002963,5577314,1115
15148,"Santa Cruz County, CA, USA",57,0.0178,36.92204,-121.77256,123,3919,0.460688972374166,9311168,1862
7195,"St Johns County, FL, USA",18,15.0,30.021099876134,-81.328842456283,49,10307,2.6714859582595905,9244498,1848
15623,"Barnstable County, MA, USA",1,0.0,41.75573,-70.15188,76,5810,4.805648317324226,478154,95
12116,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,137,8648,6.695019369677244,10409900,2081
8955,"San Mateo County, CA, USA",16,0.25,37.605014381555,-122.37661275416,137,11252,23.326742423610398,7237370,1447
15637,"Kenosha County, WI, USA",1,0.0,42.51109,-87.81515,70,2749,11.183129897551668,7366853,1473
15314,"Clearfield County, PA, USA",0,0.25,40.88865,-78.246274,100,11594,11.082631005486155,10828552,2165
12546,"Virginia Beach, VA, USA",4,0.0,36.77499,-75.96014,135,12297,10.778338445033153,8317810,1663
5885,"Snohomish County, WA, USA",19,2.1664,47.81252,-122.38317,12,5101,8.082451182088175,7464319,1492
8920,"Pinellas County, FL, USA",6,2.708,27.68816,-82.73796,59,10322,2.1957144250347955,9904308,1980
3025,"Pinellas County, FL, USA",5,1.2605,27.73249,-82.74755,82,7441,23.574605195756753,9904308,1980
12623,"Palm Beach County, FL, USA",19,1.9478,26.46901,-80.05682,136,7636,6.939111296459827,8732606,1746
14492,"Dougherty County, GA, USA",0,0.1,31.601589,-84.138863,120,4111,20.48709384844412,2007006,401
10214,"Cook County, IL, USA",32,2.0,41.91613,-87.6272,80,2879,19.158954955186484,9067522,1813
3593,"King County, WA, USA",32,0.0351,47.49417,-122.14731,103,2554,11.581577313036542,2726805,545
7376,"Pinellas County, FL, USA",18,0.2692,27.71135,-82.6821,48,7234,14.348825247485667,9904308,1980
9751,"Cook County, IL, USA",0,0.1,41.96675,-87.637,61,671,20.060195243788172,9067522,1813
4368,"St Louis County, MN, USA",13,1.4369,46.81569,-92.10461,38,6548,21.96774069862001,12089299,2417
3497,"San Diego County, CA, USA",2,0.0643,32.77493,-117.23358,23,11310,4.282284472409315,7853477,1570
13286,"Miami-Dade County, FL, USA",2,1.2867,25.81186,-80.12223,138,2667,24.073849346918994,4518308,903
1247,"Fairfax County, VA, USA",20,0.0317,38.95941,-77.20496,45,12119,2.420402557098601,4147338,829
6246,"Snohomish County, WA, USA",3,1.4895,47.81206,-122.3842,44,2393,6.293630726097519,7464319,1492
11567,"Pike County, AL, USA",102,3.0,31.83032129815,-85.993116263848,150,5127,7.896947941381353,12177136,2435
5944,"Santa Barbara County, CA, USA",4,0.5799,34.4171,-119.82808,74,7837,21.294424388153825,7045521,1409
3302,"Suffolk County, NY, USA",0,0.0069,40.66605,-73.06426,64,11258,14.074166929893297,9280308,1856
14284,"Douglas County, NE, USA",0,0.25,41.259476,-96.024225,36,7022,5.792266926339599,10514390,2102
10467,"New York County, New York, NY, USA",2,0.2961,40.80939,-73.9656,27,2445,0.6621622394204079,3035344,607
111,"Palm Beach County, FL, USA",6,2.6571,26.46924,-80.05904,17,7405,19.89854490884401,8732606,1746
4600,"Pasco County, FL, USA",40,1.3691,28.23064,-82.1857,73,2008,12.131346931062856,2975377,595
12204,"Fairfax County, VA, USA",0,0.0,38.72932,-77.0784,64,7184,17.516337837137456,4147338,829
14149,"Douglas County, NE, USA",0,0.25,41.285401,-96.014706,144,3810,1.726583181135877,10514390,2102
15565,"San Diego County, CA, USA",10,15.0,33.085512459003,-117.15008266355,114,131,2.435597934875874,7853477,1570
2991,"Pinellas County, FL, USA",0,0.1231,27.73498,-82.75267,31,5042,21.949739080066593,9904308,1980
10771,"Washington County, WI, USA",4,1.0,43.422941012301,-88.168156541657,24,8301,0.16726855888116424,10645870,2129
8993,"Hampton, VA, USA",1,5.5,37.058845514503,-76.287507440681,116,6067,22.333501794398437,9345868,1869
2376,"Washington County, OR, USA",14,0.25,45.531804151088,-122.88297014085,38,2165,17.270538607084024,4672539,934
5604,"St Lucie County, FL, USA",10,0.0591,27.26187,-80.4468,41,4040,17.55154898649658,7424019,1484
9835,"Leelanau County, MI, USA",28,0.1,44.90501,-86.02618,75,1409,1.7576030322787528,9538233,1907
7293,"Sarasota County, FL, USA",0,0.0,27.1565,-82.47171,124,11761,6.9781298425401195,12128650,2425
13749,"Barnstable County, MA, USA",6,0.4598,41.63987,-70.24235,76,7390,8.401214426106577,478154,95
10473,"Orangeburg County, SC, USA",0,8.0,33.50963213375,-81.266215943117,141,5316,1.1032175867656036,6667147,1333
7083,"Los Angeles County, CA, USA",0,0.0035,34.1459,-118.1221,103,5066,3.7580742761553783,1214104,242
643,"Clatsop County, OR, USA",0,0.2502,45.87259,-123.96166,47,1627,6.513128456038743,3157977,631
4888,"Miami-Dade County, FL, USA",1,0.0132,25.90529,-80.13499,68,1657,20.57681991638903,4518308,903
14752,"Hillsborough County, FL, USA",0,2.0,27.989138955126,-82.467555451629,20,581,14.069899994169445,2408043,481
2205,"Duval County, FL, USA",0,0.0,30.32432,-81.59003,72,5895,6.593413122532625,295351,59
3110,"Pinellas County, FL, USA",5,1.2605,27.73249,-82.74755,97,713,8.710133937153723,9904308,1980
13175,"Beaufort County, SC, USA",5,0.5493,32.19043,-80.69847,150,2222,19.384528948385015,5743868,1148
2187,"Nantucket County, MA, USA",0,3.8749,41.27258,-70.20495,103,3620,5.413045063174072,6811804,1362
7945,"Lucas County, OH, USA",22,0.1,41.66715435874,-83.674648523907,88,3523,11.130903747341607,3597514,719
4558,"Martin County, FL, USA",0,0.493,27.25818,-80.19761,113,6234,14.983574365913361,1363198,272
14225,"Douglas County, NE, USA",0,0.25,41.248419,-96.076474,40,7831,8.224908814901832,10514390,2102
2147,"Honolulu County, HI, USA",6,0.2701,21.27117,-157.82267,107,7030,16.350268042790592,458547,91
13504,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,28,8238,16.3604759865748,10409900,2081
15321,"Clinton County, PA, USA",0,0.25,41.284481,-77.608392,17,2958,5.656628839051086,1094132,218
3787,"Pinellas County, FL, USA",16,2.6927,27.68933,-82.73819,85,12042,7.7730140541888275,9904308,1980
6971,"Palm Beach County, FL, USA",2,0.0408,26.54399,-80.04336,25,12205,17.258715390196915,8732606,1746
1484,"Sonoma County, CA, USA",1,0.2315,38.73229,-123.48924,118,4698,23.984692414398477,4304791,860
4903,"Miami-Dade County, FL, USA",8,0.3899,25.71653,-80.15655,54,9774,9.249205006172515,4518308,903
5587,"San Diego County, CA, USA",31,0.1464,33.16373,-117.35817,95,4430,23.648791117614138,7853477,1570
12277,"Livingston County, MI, USA",1,0.01,42.488331,-83.723291,5,427,5.343981874111023,9714440,1942
8560,"Horry County, SC, USA",77,0.25,33.69163048669,-78.879615620668,27,3067,19.37273143057238,10311923,2062
137,"Los Angeles County, CA, USA",17,0.4014,34.03174,-118.52874,26,4608,4.576991621066404,1214104,242
4272,"New London County, CT, USA",0,3.2724,41.32748,-72.00218,8,2393,23.616052500494984,5530638,1106
6317,"Orange County, CA, USA",6,0.0106,33.52583,-117.69375,38,4460,3.4757490019394632,6304735,1260
465,"Los Angeles County, CA, USA",1,0.3291,34.21668,-118.14566,48,7800,2.4118200400283576,1214104,242
95,"Baldwin County, AL, USA",2,0.0,30.47264,-87.70204,76,8513,18.165511537780755,11219138,2243
14232,"Douglas County, NE, USA",0,0.25,41.221421,-95.941408,135,5991,18.13850235365636,10514390,2102
5341,"Brevard County, FL, USA",55,1.7061,28.40751,-80.59331,139,11785,7.748202046481474,10924815,2184
6446,"Sarasota County, FL, USA",0,0.0104,27.15626,-82.47155,130,9668,13.81037964729457,12128650,2425
11819,"San Diego County, CA, USA",0,0.0171,32.76189,-117.25033,24,8608,18.174267628337986,7853477,1570
1638,"Kings County, Brooklyn, NY, USA",29,0.905,40.58017,-73.99913,147,12241,2.2529179000073905,4380429,876
435,"Los Angeles County, CA, USA",3,1.2279,34.1708,-118.06034,99,5167,3.832084742481122,1214104,242
14816,"San Diego County, CA, USA",8,0.0,32.84965,-116.8786,30,8436,21.930957459673284,7853477,1570
8603,"Erie County, NY, USA",20,1.0,42.643875769739,-79.064278237906,35,8067,13.758130715414508,7512282,1502
7356,"Palm Beach County, FL, USA",4,4.1548,26.4554,-80.05912,65,6631,19.674700806169184,8732606,1746
13465,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,117,10992,14.191190752410522,10409900,2081
6703,"Lincoln County, OR, USA",14,2.5028,44.63611,-124.06433,112,3281,22.71185272948985,3663964,732
10183,"Douglas County, WI, USA",35,0.1,46.72996,-92.08648,86,1105,23.382192973032563,1024110,204
9831,"Cook County, IL, USA",26,0.5,41.86388,-87.6074,92,11453,0.9839167149493031,9067522,1813
6564,"Maui County, HI, USA",60,0.0303,20.87958,-156.68215,60,4874,20.330468087142908,5575846,1115
6394,"Orange County, FL, USA",5,0.031,28.41412,-81.23077,121,634,0.14627420317088924,4977527,995
8792,"Grays Harbor County, WA, USA",51,2.2134,47.07039,-124.1706,14,7868,15.614704326273745,12029490,2405
15280,"Pinellas County, FL, USA",17,1.2179,28.05717,-82.80849,42,9992,24.492419644980618,9904308,1980
6399,"Maui County, HI, USA",0,0.0035,20.86888,-156.67595,146,2041,9.831116811462667,5575846,1115
3560,"Palm Beach County, FL, USA",56,1.0,26.743477103807,-80.035679720654,55,10130,10.54750843651662,8732606,1746
13643,"Manatee County, FL, USA",3,0.08,27.4986,-82.60127,123,1476,7.776873592537161,11649638,2329
14811,"Palm Beach County, FL, USA",48,2.725,26.4691,-80.05689,93,9468,17.165963882552752,8732606,1746
15144,"Santa Cruz County, CA, USA",56,0.1199,36.92207,-121.77244,68,5033,15.832811093180522,9311168,1862
9848,"Cook County, IL, USA",86,0.1,41.83946,-87.6062,65,7824,17.977789938836583,9067522,1813
2506,"St Johns County, FL, USA",0,0.008,30.09771,-81.44221,76,8136,18.721141731697386,9244498,1848
12088,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,11,8000,5.767763939436461,10409900,2081
1868,"San Diego County, CA, USA",20,0.4846,32.75408,-117.25106,30,9999,4.142732518222153,7853477,1570
13451,"Volusia County, FL, USA",2,0.0128,29.24472,-81.04958,98,8069,19.104428769317522,10409900,2081
5323,"Miami-Dade County, FL, USA",8,2.1435,25.76818,-80.13171,94,1081,22.816645986751247,4518308,903
