%Month  Day  Year   Long (E)    Lat (N)   Plastic conc. (pieces/km2)
  12   17   2001   -106.96     -4.44           0
  12   17   2001   -107.64     -4.67           0
  12   18   2001   -109.12     -4.83           0
  12   18   2001   -109.94     -4.98           0
  12   18   2001   -111.21     -5.73           0
  12   19   2001   -111.23     -5.73           0
  12   19   2001   -111.24     -5.76           0
  12   19   2001   -111.26     -5.77           0
  12   19   2001   -111.27     -5.78           0
  12   19   2001   -111.28     -5.79           0
  12   19   2001   -111.29     -5.81           0
  12   19   2001   -111.97     -5.98        2160
  12   20   2001   -113.34     -6.44           0
  12   20   2001   -113.90     -6.66           0
  12   21   2001   -115.09     -6.96           0
  12   21   2001   -115.83     -6.99         540
  12   22   2001   -117.23     -7.39           0
  12   22   2001   -118.19     -7.50           0
  12   23   2001   -119.38     -7.70           0
  12   23   2001   -120.06     -7.73           0
  12   24   2001   -121.14     -7.97           0
  12   24   2001   -122.00     -8.23           0
  12   25   2001   -123.12     -8.53        1059
  12   26   2001   -124.85     -7.92         362
  12   26   2001   -125.56     -8.13           0
  12   27   2001   -126.60     -8.56           0
  12   27   2001   -127.47     -8.69           0
  12   27   2001   -130.27     -8.67           0
   2   14   2002   -149.84    -16.96           0
   2   14   2002   -149.80    -16.32        2700
   2   15   2002   -149.66    -16.10        1080
   2   15   2002   -149.55    -15.90         509
   2   16   2002   -148.96    -16.11           0
   2   16   2002   -148.58    -15.91           0
   2   16   2002   -148.36    -15.87         535
   2   16   2002   -148.31    -15.78           0
   2   16   2002   -148.31    -15.84           0
   2   17   2002   -148.24    -15.96           0
   2   17   2002   -148.18    -15.54        1620
   2   18   2002   -147.82    -14.55           0
   2   18   2002   -147.80    -14.70           0
   2   18   2002   -147.80    -14.70           0
   2   18   2002   -147.80    -14.74           0
   2   18   2002   -147.80    -14.74           0
   2   20   2002   -147.24    -14.57         540
   2   20   2002   -146.61    -14.39         540
   2   20   2002   -146.42    -14.61           0
   2   21   2002   -146.43    -14.50        1080
   2   21   2002   -146.41    -14.41        1080
   2   21   2002   -146.49    -14.49           0
   2   21   2002   -146.31    -14.00           0
   2   22   2002   -145.06    -13.65        1543
   2   24   2002   -142.30    -12.69           0
   2   24   2002   -141.91    -11.65        1080
   2   24   2002   -141.92    -11.66           0
   2   24   2002   -141.93    -11.69           0
   2   24   2002   -141.93    -11.71         346
   2   25   2002   -141.73    -11.54           0
   2   25   2002   -141.02    -11.69           0
   2   26   2002   -141.04    -11.77           0
   2   27   2002   -140.58    -10.89           0
   2   27   2002   -140.59    -10.06           0
   2   28   2002   -140.27     -9.32           0
   2   28   2002   -140.07     -8.66           0
   3    4   2002   -140.52     -8.39           0
   3    4   2002   -140.68     -8.09           0
   3    4   2002   -140.75     -8.01           0
   3    5   2002   -140.71     -7.90           0
   3    6   2002   -141.21     -4.84           0
   3    6   2002   -141.39     -4.02           0
   3    7   2002   -141.53     -2.89           0
   3    8   2002   -141.84     -0.99           0
   3    9   2002   -141.90      0.49           0
   3    9   2002   -142.01      1.09           0
   3    9   2002   -142.15      1.70           0
   3    9   2002   -142.29      1.83           0
   3   10   2002   -142.56      2.21           0
   3   11   2002   -143.00      2.79           0
   3   11   2002   -143.71      3.14           0
   3   11   2002   -143.98      3.85           0
   3   11   2002   -143.98      3.83           0
   3   11   2002   -144.00      3.80           0
   3   12   2002   -144.02      3.78           0
   3   12   2002   -144.40      4.99           0
   3   13   2002   -144.89      6.02           0
   3   16   2002   -149.80     12.33           0
   3   17   2002   -150.85     14.55        1080
   3   18   2002   -151.60     16.29        1080
   3   20   2002   -154.98     19.86        1080
   3   21   2002   -155.54     20.57         540
   4    1   2002   -157.70     20.85        1028
   4    1   2002   -157.38     20.24        7714
   4    2   2002   -157.00     19.62        3740
   4    2   2002   -156.24     19.09        5343
   4    3   2002   -156.72     18.01        2722
   4    3   2002   -157.24     17.23        1714
   4    3   2002   -157.92     16.14           0
   4    4   2002   -158.46     14.89        1723
   4    5   2002   -158.97     13.98        4860
   4    5   2002   -159.47     13.22        2038
   4    6   2002   -159.95     12.15        1059
   4    6   2002   -160.22     11.37         519
   4    7   2002   -160.52     10.28           0
   4    7   2002   -160.68      9.37         900
   4    7   2002   -160.80      8.70         600
   4    8   2002   -160.98      6.98           0
   4    9   2002   -161.56      6.06           0
   4    9   2002   -161.90      5.76        1200
   4   11   2002   -162.95      6.67        3115
   4   12   2002   -163.92      7.78           0
   4   12   2002   -164.73      8.89           0
   4   13   2002   -165.26      9.54           0
   4   13   2002   -165.95     10.61         491
   4   14   2002   -166.41     11.80           0
   4   15   2002   -167.24     14.18           0
   4   15   2002   -167.65     14.98           0
   4   16   2002   -168.18     16.03           0
   4   16   2002   -169.05     16.39           0
   4   18   2002   -170.01     17.47         923
   4   18   2002   -170.60     18.54        1080
   4   18   2002   -171.16     19.17           0
   4   19   2002   -171.91     19.81         557
   4   21   2002   -174.74     23.89         545
   4   22   2002   -176.28     26.22       11522
   4   23   2002   -177.03     27.55       13505
   4   30   2002   -166.54     26.80       88785
   5    1   2002   -165.56     26.24        2659
   5   17   2002   -151.69     32.57       87820
   5   17   2002   -151.55     33.93       56794
   5   23   2002   -133.92     44.88        4345
   5   23   2002   -132.29     45.68        2269
   7    1   2002   -122.92     48.20           0
   7    3   2002   -127.57     49.60           0
   7    3   2002   -128.33     50.38           0
   7    4   2002   -129.04     51.04           0
   7    5   2002   -132.57     52.20           0
   7    5   2002   -132.76     52.53        3240
   7    6   2002   -133.66     53.07           0
   7    6   2002   -134.15     53.26           0
   7    7   2002   -135.67     53.31           0
   7    7   2002   -135.65     53.43        1038
   7    8   2002   -135.29     54.05           0
   7    9   2002   -134.72     55.43           0
   7   10   2002   -134.58     56.61           0
   7   11   2002   -133.77     57.46           0
   7   12   2002   -134.05     57.14           0
   7   12   2002   -135.18     57.51           0
   7   13   2002   -136.21     57.30           0
   7   13   2002   -136.23     57.22           0
   7   14   2002   -136.10     56.88           0
   7   17   2002   -135.15     56.54           0
   7   18   2002   -134.24     55.38        6230
   7   19   2002   -132.57     54.30           0
   7   20   2002   -133.14     53.15           0
   8    2   2002   -124.93     48.34         519
   8    3   2002   -125.07     47.90           0
   8    3   2002   -125.22     47.19         535
   8    4   2002   -124.60     46.61           0
   8    4   2002   -124.24     46.37         540
   8    5   2002   -124.36     46.10       23758
   8    6   2002   -125.27     44.64        1981
   8    6   2002   -125.65     43.72           0
   8    7   2002   -125.82     42.49           0
   8    8   2002   -124.02     39.25           0
   8    9   2002   -123.66     38.53           0
   8   18   2002   -122.54     37.64           0
   8   19   2002   -122.58     37.30           0
   8   20   2002   -122.14     36.19           0
   8   20   2002   -122.24     35.25           0
   8   21   2002   -119.39     33.97           0
  10   16   2002   -117.33     32.64        6599
  10   17   2002   -118.48     32.91           0
  10   17   2002   -118.74     32.99           0
  10   18   2002   -119.57     32.60       13499
  10   19   2002   -120.45     32.21        1080
  10   20   2002   -122.45     30.78           0
  10   21   2002   -121.22     30.28           0
  10   21   2002   -120.37     30.23           0
  10   28   2002   -110.19     22.81           0
  10   30   2002   -110.40     25.51           0
  10   30   2002   -111.12     26.88        1080
  11    2   2002   -110.55     25.32           0
  11    5   2002   -110.41     24.29           0
  11    6   2002   -110.52     24.53           0
  11    7   2002   -109.80     24.32           0
  11    7   2002   -109.73     24.08           0
  11    8   2002   -109.37     23.89         545
  11    8   2002   -109.02     23.22           0
  11    9   2002   -108.68     23.05           0
  11   11   2002   -108.34     21.41           0
  11   11   2002   -108.30     21.50         540
  11   12   2002   -108.73     21.24           0
  11   12   2002   -109.22     20.99           0
  11   13   2002   -109.70     19.83           0
  12    2   2002   -105.60     21.44        1161
  12    2   2002   -106.46     22.17        3600
  12    3   2002   -107.51     22.90           0
  12    3   2002   -107.65     23.34           0
  12    4   2002   -108.72     23.14         535
  12    4   2002   -108.92     23.09           0
  12    6   2002   -109.38     23.63        9116
  12    6   2002   -110.09     24.45           0
  12   10   2002   -109.13     23.14           0
  12   10   2002   -109.90     22.20           0
  12   11   2002   -110.61     21.35           0
  12   11   2002   -111.76     20.69           0
  12   12   2002   -113.05     19.85           0
  12   12   2002   -114.51     18.66           0
  12   13   2002   -115.08     17.64         535
  12   13   2002   -116.12     16.83           0
  12   13   2002   -117.03     15.95           0
  12   14   2002   -117.44     14.61        1604
  12   14   2002   -117.78     13.31        1059
  12   15   2002   -117.85     11.94        1620
  12   15   2002   -118.72     11.63           0
  12   16   2002   -120.25     11.18           0
  12   16   2002   -120.39      9.92        1161
  12   17   2002   -120.48      8.71           0
  12   17   2002   -121.22      7.74           0
  12   18   2002   -121.85      6.35           0
  12   19   2002   -122.52      5.07           0
  12   19   2002   -123.17      3.96           0
  12   19   2002   -124.05      3.24           0
  12   20   2002   -125.33      1.99           0
  12   21   2002   -126.58      1.09           0
  12   21   2002   -127.68      0.27           0
  12   21   2002   -128.33     -0.14           0
  12   22   2002   -128.61      2.83           0
  12   24   2002   -128.90      5.74         514
   2   10   2003   -157.79     21.18        6352
   2   11   2003   -157.49     20.94       21384
   2   12   2003   -157.42     20.49           0
   2   12   2003   -157.20     19.66        2812
   2   12   2003   -156.98     19.47         469
   2   13   2003   -156.49     19.51        3446
   2   13   2003   -156.38     19.36         600
   2   14   2003   -156.27     18.95         600
   2   15   2003   -155.10     17.68         540
   2   16   2003   -152.90     15.36           0
   2   17   2003   -152.27     14.62           0
   2   17   2003   -151.63     13.88           0
   2   18   2003   -150.87     13.06           0
   2   18   2003   -150.21     12.25           0
   2   18   2003   -149.63     11.51           0
   2   21   2003   -148.13      8.64        1080
   2   21   2003   -147.81      8.14           0
   2   22   2003   -147.02      7.16           0
   2   22   2003   -146.51      6.25         540
   2   23   2003   -144.77      5.04           0
   2   24   2003   -143.82      4.28           0
   2   24   2003   -143.46      3.74           0
   3    3   2003   -140.00     -8.99           0
   3    3   2003   -139.91     -9.05           0
   3    4   2003   -140.03     -8.26           0
   3    4   2003   -140.09     -7.67           0
   3    4   2003   -140.21     -6.72         614
   3    5   2003   -140.48     -5.62         540
   3    5   2003   -140.77     -5.77           0
   3    7   2003   -142.18     -8.49         535
   3    8   2003   -142.77     -9.57           0
   3    8   2003   -143.09    -10.42           0
   3    9   2003   -143.47    -11.28           0
   3    9   2003   -143.99    -12.14           0
   3   10   2003   -144.31    -12.74           0
   3   10   2003   -144.69    -13.64           0
   3   15   2003   -148.78    -15.27           0
   3   27   2003   -149.74    -17.14        1080
   3   28   2003   -149.32    -16.61        1080
   3   29   2003   -148.47    -15.27           0
   3   30   2003   -147.78    -14.70        1800
   3   30   2003   -147.00    -14.92        1080
   3   31   2003   -146.58    -14.91           0
   4    1   2003   -144.53    -14.12           0
   4    2   2003   -143.12    -13.54           0
   4    2   2003   -141.20    -13.21           0
   4    3   2003   -141.14    -13.31           0
   4    3   2003   -141.11    -13.39           0
   4    4   2003   -139.58    -12.94           0
   4    5   2003   -138.44    -11.18        1620
   4   13   2003   -141.63     -5.83           0
   4   14   2003   -141.69     -5.67           0
   4   14   2003   -141.71     -5.63           0
   4   15   2003   -142.07     -3.99           0
   4   16   2003   -142.77     -1.38           0
   4   17   2003   -143.03      0.89         540
   4   18   2003   -143.47      2.98           0
   4   19   2003   -143.41      4.86           0
   4   20   2003   -144.23      6.39        1350
   4   21   2003   -145.47      8.19         500
   4   21   2003   -146.50      9.43           0
   4   22   2003   -146.63      9.55           0
   4   22   2003   -146.64      9.53           0
   4   23   2003   -147.77     10.68           0
   4   24   2003   -148.94     12.49           0
   4   28   2003   -154.67     19.13           0
   4   28   2003   -154.81     19.15           0
   4   28   2003   -154.86     19.20           0
   4   28   2003   -155.00     19.23       29158
   5   10   2003   -156.47     20.40           0
   5   12   2003   -156.16     19.80           0
   5   13   2003   -156.55     18.83           0
   5   14   2003   -157.58     16.62           0
   5   15   2003   -158.31     14.13           0
   5   16   2003   -159.15     12.09           0
   5   17   2003   -159.94      9.68           0
   5   18   2003   -160.37      7.66           0
   5   20   2003   -162.00      5.97           0
   5   28   2003   -162.49      6.35           0
   7    5   2003   -157.55     21.82         432
   7    5   2003   -157.43     22.50         540
   7    6   2003   -157.12     23.43         524
   7    6   2003   -156.87     24.08        9179
   7    7   2003   -156.94     25.06           0
   7    7   2003   -156.96     25.92           0
   7    7   2003   -156.82     26.59        2174
   7    8   2003   -156.77     27.25           0
   7    9   2003   -156.71     29.94       14470
   7   10   2003   -155.93     30.31       23113
   7   12   2003   -151.97     33.34       20303
   7   13   2003   -149.90     36.34       11422
   7   13   2003   -149.44     37.03       13932
   7   14   2003   -148.97     37.73       10130
   7   14   2003   -147.72     39.76        1264
   7   15   2003   -146.64     41.07       19438
   7   15   2003   -145.74     41.11           0
   7   17   2003   -143.62     41.18        6612
   7   19   2003   -137.24     41.07        6612
   7   20   2003   -135.73     40.82        3987
   7   20   2003   -134.88     40.68       48609
   7   21   2003   -134.42     40.58       40135
   7   21   2003   -133.51     40.38       43138
   7   22   2003   -132.23     40.16       10571
   7   22   2003   -130.79     39.90       22833
   8   16   2003   -118.32     33.26        3600
   8   17   2003   -118.60     33.10         524
   8   17   2003   -118.54     33.38           0
   8   18   2003   -119.04     33.09           0
   8   19   2003   -120.14     32.35           0
  10   19   2003   -118.29     33.02           0
  10   19   2003   -118.77     33.56           0
  10   20   2003   -118.94     33.47           0
  10   20   2003   -119.01     33.35           0
  10   21   2003   -119.15     32.76           0
  10   21   2003   -119.04     33.10           0
  10   22   2003   -118.95     33.06           0
  10   22   2003   -119.12     32.84           0
  10   23   2003   -119.04     33.08           0
  10   23   2003   -118.95     32.37           0
  10   24   2003   -119.54     31.72           0
  10   24   2003   -119.85     31.54           0
  10   24   2003   -119.53     31.06           0
  10   25   2003   -118.80     29.98           0
  10   25   2003   -118.46     29.37           0
  10   26   2003   -117.98     28.72           0
  10   27   2003   -116.21     28.54           0
  10   27   2003   -115.18     28.41           0
  10   27   2003   -115.08     28.04           0
  10   28   2003   -115.43     27.84           0
  10   28   2003   -115.14     27.33           0
  10   29   2003   -114.54     26.60           0
  10   30   2003   -113.29     25.68           0
  10   30   2003   -112.58     24.59           0
  10   31   2003   -112.28     24.28           0
  10   31   2003   -111.06     23.35        1080
  11    1   2003   -110.56     23.15         540
  11    1   2003   -109.47     22.99        4860
  11    1   2003   -109.13     23.65           0
  11    2   2003   -109.76     24.21       11339
  11    3   2003   -110.16     24.52           0
  11    7   2003   -110.48     24.37           0
  11    8   2003   -110.38     25.28           0
  11    8   2003   -110.73     25.94           0
  11    8   2003   -110.45     26.21         540
  11    9   2003   -110.64     26.14           0
  11   10   2003   -110.91     26.05           0
  11   10   2003   -110.86     25.69           0
  11   11   2003   -110.39     25.35           0
  11   11   2003   -109.94     24.73           0
  11   12   2003   -109.51     24.03           0
  11   12   2003   -108.79     23.52        1080
  11   13   2003   -109.09     22.76        4860
  11   13   2003   -109.00     22.11           0
  11   13   2003   -109.67     21.42         540
  11   14   2003   -109.97     21.15         540
  11   15   2003   -110.68     19.80        1080
  11   16   2003   -111.05     18.97           0
  11   17   2003   -110.06     19.24           0
  11   18   2003   -109.09     19.51           0
  11   18   2003   -108.40     19.43        9179
  11   19   2003   -107.43     19.62           0
  11   19   2003   -106.63     19.73           0
  11   19   2003   -105.87     19.96           0
  11   20   2003   -106.29     20.15           0
  11   21   2003   -106.80     20.14        1080
  11   21   2003   -106.35     20.35        1620
  11   22   2003   -105.90     20.60           0
  11   23   2003   -105.51     20.57           0
  12    2   2003   -105.64     20.61           0
  12    2   2003   -105.64     20.27           0
  12    2   2003   -106.08     19.95        2160
  12    3   2003   -106.66     19.24        4860
  12    4   2003   -107.41     18.46           0
  12    4   2003   -108.32     17.55       12419
  12    5   2003   -108.86     16.88       34017
  12    5   2003   -109.22     16.36       19438
  12    6   2003   -109.65     16.28        4320
  12    6   2003   -109.66     16.13        3780
  12    7   2003   -110.46     15.94           0
  12    7   2003   -110.96     15.25        1080
  12    8   2003   -111.47     14.71           0
  12    8   2003   -111.93     14.12        2160
  12    9   2003   -112.61     13.69         540
  12    9   2003   -112.94     12.95        2700
  12   10   2003   -113.26     12.52           0
  12   10   2003   -114.13     11.44        2700
  12   10   2003   -114.41     11.09           0
  12   11   2003   -114.84     10.33           0
  12   12   2003   -115.35      9.55           0
  12   12   2003   -115.99      8.38         540
  12   13   2003   -116.43      7.43           0
  12   13   2003   -116.84      6.84           0
  12   14   2003   -117.25      6.42           0
  12   14   2003   -117.77      5.79           0
  12   15   2003   -118.35      5.28           0
  12   15   2003   -119.38      4.41           0
  12   16   2003   -120.56      3.48           0
  12   16   2003   -121.43      2.89           0
  12   17   2003   -122.60      2.19           0
  12   17   2003   -123.62      1.71           0
  12   18   2003   -124.53      1.22           0
  12   18   2003   -125.19      0.50           0
  12   18   2003   -126.03     -0.59           0
  12   19   2003   -126.97     -1.56           0
  12   19   2003   -127.73     -2.14           0
  12   20   2003   -127.93     -2.28           0
  12   20   2003   -128.20     -2.45           0
  12   20   2003   -128.88     -2.87           0
  12   21   2003   -130.08     -3.54           0
  12   21   2003   -131.07     -4.01           0
  12   22   2003   -132.42     -4.58           0
  12   22   2003   -133.51     -5.10           0
  12   23   2003   -134.40     -5.69           0
  12   23   2003   -134.97     -6.15           0
  12   24   2003   -135.80     -6.86           0
  12   24   2003   -136.36     -7.42         540
  12   25   2003   -137.20     -8.31           0
  12   26   2003   -138.49     -9.81           0
  12   31   2003   -139.89    -10.36           0
   1    1   2004   -141.32    -11.32           0
   1    2   2004   -142.41    -12.31           0
   1    3   2004   -143.22    -13.50           0
   1    4   2004   -144.28    -14.10        2700
   1   20   2004   -150.50    -17.07           0
   1   20   2004   -150.90    -16.56        1080
   1   20   2004   -151.22    -16.74           0
   1   21   2004   -150.98    -16.90         540
   1   22   2004   -150.74    -16.96           0
   1   22   2004   -150.22    -16.80         540
   2   13   2004   -148.89    -15.28           0
   2   14   2004   -147.67    -14.33           0
   2   15   2004   -147.42    -12.83           0
   2   16   2004   -146.73    -11.53           0
   2   17   2004   -145.78    -10.84           0
   2   18   2004   -144.79    -10.00           0
   2   19   2004   -143.89    -10.66           0
   2   20   2004   -142.82     -8.83           0
   2   21   2004   -141.97     -8.46           0
   2   22   2004   -141.17     -8.71           0
   3    1   2004   -140.21     -7.40           0
   3    2   2004   -140.67     -5.95           0
   3    3   2004   -140.52     -4.10           0
   3    4   2004   -141.31     -3.16           0
   3   28   2004   -157.32     20.76       13499
   3   29   2004   -156.21     19.70        4320
   3   30   2004   -156.23     19.29        1620
   3   30   2004   -157.10     18.48        4050
   3   31   2004   -157.46     18.06        3240
   3   31   2004   -158.02     16.32           0
   4    1   2004   -158.18     15.38           0
   4    1   2004   -158.33     14.27           0
   4    3   2004   -159.37     10.61           0
   4    4   2004   -159.39     10.31           0
   4    4   2004   -159.47     10.17           0
   4    4   2004   -159.53      9.59           0
   4    6   2004   -160.46      7.36           0
   4    6   2004   -160.77      6.62           0
   4    7   2004   -161.36      5.72           0
   4    7   2004   -161.69      5.27         600
   4    9   2004   -160.92      1.41           0
   4   10   2004   -160.84      0.38           0
   4   10   2004   -160.84      0.01           0
   4   10   2004   -161.24      0.29           0
   4   13   2004   -162.04      5.62           0
   4   14   2004   -162.01      5.60           0
   4   14   2004   -162.06      5.61           0
   4   14   2004   -162.13      5.80        2880
   4   19   2004   -162.33      7.80        4154
   4   19   2004   -162.32      8.44        2314
   4   20   2004   -162.35      8.42           0
   4   20   2004   -162.43      8.43           0
   4   20   2004   -162.38      8.68        8099
   4   20   2004   -162.36      9.55        1080
   4   21   2004   -162.45     10.23         600
   4   21   2004   -162.70     11.05           0
   4   22   2004   -162.45     11.59           0
   4   22   2004   -162.75     12.73        1080
   4   23   2004   -162.08     13.55           0
   4   23   2004   -162.84     14.51           0
   4   24   2004   -162.43     15.36        6075
   4   24   2004   -162.61     16.21         794
   5    9   2004   -157.86     21.25        1137
   5    9   2004   -157.75     21.07        2216
   5   11   2004   -157.55     21.12           0
   5   11   2004   -157.60     21.74        4320
   5   11   2004   -157.29     21.56        8101
   5   12   2004   -157.03     22.31       20248
   5   12   2004   -156.88     23.00           0
   5   13   2004   -156.02     23.95        7874
   5   13   2004   -155.68     24.61           0
   5   14   2004   -154.01     26.59           0
   5   14   2004   -154.05     26.58           0
   5   14   2004   -154.07     26.58           0
   5   15   2004   -154.09     26.58           0
   5   16   2004   -151.80     28.46       28021
   5   17   2004   -151.00     29.83       58027
   5   18   2004   -150.53     30.83        4321
   5   18   2004   -149.99     31.54       90844
   5   18   2004   -149.98     31.96       10895
   5   19   2004   -149.39     34.67      652839
   5   20   2004   -149.22     36.82       10937
   5   21   2004   -149.57     38.40      112155
   5   22   2004   -149.33     41.31           0
   5   23   2004   -148.16     43.17           0
   5   24   2004   -147.74     44.98           0
   5   24   2004   -147.74     45.00           0
   5   24   2004   -147.74     45.03           0
   5   25   2004   -147.75     45.05         665
   5   26   2004   -143.53     48.75           0
   5   28   2004   -140.89     50.56           0
   5   30   2004   -136.51     53.59           0
   5   31   2004   -132.84     54.36        2160
   7   17   2004   -129.32     48.33           0
   7   17   2004   -129.60     48.64           0
   7   18   2004   -130.73     49.40         540
   7   20   2004   -131.30     51.32           0
   7   23   2004   -130.71     51.04           0
   7   24   2004   -130.29     50.64           0
   8    2   2004   -127.17     42.74           0
   8    3   2004   -126.92     42.12           0
   8    4   2004   -126.11     41.20           0
   8    4   2004   -125.63     40.40         540
   8   16   2004   -122.49     37.15           0
   8   16   2004   -122.12     36.47           0
   8   17   2004   -122.16     34.96           0
   8   17   2004   -121.11     34.58           0
   8   28   2004   -118.74     33.28           0
   9   15   2004   -117.65     32.63           0
   9   16   2004   -117.90     32.75         600
   9   16   2004   -117.49     32.62         831
  10   17   2004   -117.68     33.33           0
  10   18   2004   -117.98     33.39           0
  10   18   2004   -118.53     33.57       10349
  10   19   2004   -119.08     33.70         540
  10   19   2004   -119.70     33.75           0
  10   20   2004   -120.54     33.89           0
  10   20   2004   -120.67     33.83           0
  10   21   2004   -121.06     33.16           0
  10   21   2004   -121.57     32.42           0
  10   22   2004   -122.41     31.73           0
  10   22   2004   -122.61     31.55      223182
  10   23   2004   -122.99     31.35      678031
  10   23   2004   -123.07     31.22       81533
  10   24   2004   -122.97     30.64       15119
  10   24   2004   -122.17     30.23           0
  10   25   2004   -120.98     29.73         540
  10   25   2004   -119.69     29.52           0
  10   26   2004   -118.48     29.24           0
  10   26   2004   -117.78     28.98           0
  10   27   2004   -116.89     28.26           0
  10   27   2004   -116.11     27.68           0
  10   28   2004   -115.13     26.98           0
  10   28   2004   -114.47     26.37           0
  10   29   2004   -114.02     25.68           0
  10   29   2004   -113.22     24.98           0
  10   31   2004   -110.90     23.23           0
  10   31   2004   -110.37     22.95        2700
  11    1   2004   -109.30     22.79           0
  11    1   2004   -109.24     23.34           0
  11    2   2004   -108.22     23.59        1080
  11    2   2004   -107.88     23.68         540
  11    2   2004   -107.65     23.76           0
  11    3   2004   -107.73     23.78         540
  11    3   2004   -108.43     23.79           0
  11    4   2004   -109.40     24.31           0
  11    4   2004   -109.46     24.55           0
  11    5   2004   -110.36     25.28           0
  11    6   2004   -110.97     25.88        2700
  11    7   2004   -110.11     25.21           0
  11   17   2004   -108.93     21.19           0
  11   18   2004   -106.69     20.69           0
  11   19   2004   -107.01     20.59           0
  11   19   2004   -105.99     20.51        2700
  11   30   2004   -105.67     20.72        2999
  11   30   2004   -106.31     20.36           0
  12    1   2004   -107.19     19.64        4049
  12    2   2004   -107.79     19.31           0
  12    2   2004   -108.41     19.09        1620
  12    3   2004   -107.80     19.31           0
  12    3   2004   -109.91     18.24           0
  12    4   2004   -110.77     18.03        1800
  12    4   2004   -111.58     17.77           0
  12    5   2004   -111.95     17.75        4646
  12    5   2004   -112.93     17.48        5400
  12    6   2004   -113.97     17.13        1800
  12    6   2004   -114.70     16.73        1080
  12    6   2004   -114.88     16.57       10799
  12    7   2004   -115.30     15.63         540
  12    8   2004   -115.79     14.59        1350
  12    8   2004   -116.14     13.76         864
  12    9   2004   -116.90     12.69        1620
  12    9   2004   -117.40     11.96           0
  12   10   2004   -117.81     11.06           0
  12   10   2004   -118.20     10.38           0
  12   11   2004   -118.61      9.58           0
  12   11   2004   -119.03      9.22           0
  12   12   2004   -119.28      8.73           0
  12   12   2004   -119.51      8.23         771
  12   13   2004   -120.07      7.51           0
  12   13   2004   -121.04      6.53           0
  12   14   2004   -121.40      5.41           0
  12   14   2004   -121.58      4.33           0
  12   15   2004   -122.50      4.48           0
  12   15   2004   -123.16      4.64           0
  12   16   2004   -124.06      4.07           0
  12   16   2004   -124.77      3.51           0
  12   17   2004   -125.62      3.05           0
  12   17   2004   -126.08      2.42           0
  12   18   2004   -126.79      1.55           0
  12   19   2004   -128.09      0.18           0
  12   19   2004   -128.61     -0.22           0
  12   20   2004   -129.56     -1.11         720
  12   21   2004   -131.68     -2.97         540
  12   22   2004   -134.00     -4.61           0
  12   22   2004   -134.82     -5.20           0
